iso3,Year,EG.ELC.ACCS.ZS,EN.POP.DNST,SH.XPD.PVTD.PP.CD,SL.IND.EMPL.ZS,SL.TLF.TOTL.FE.ZS,SuicideRatesPer100k
SYC,2009,96.8,189.778260869565,348.128659724299,20.1084849861516,44.3012746850849,6.81
SYC,2010,97.0,195.152173913043,380.080466880009,20.1084849861516,44.3012746850849,6.94
SYC,2011,98.1,190.089130434783,376.665714908556,20.1084849861516,44.3012746850849,7.02
SYC,2012,98.3,191.963043478261,410.954052013694,20.1084849861516,44.3012746850849,6.87
SYC,2013,98.0,195.541304347826,321.777051862976,20.1084849861516,44.3012746850849,6.95
SYC,2014,100.0,198.60652173913,335.635462133552,20.1084849861516,44.3012746850849,7.17
SYC,2015,100.0,203.084782608696,255.815022244281,20.1084849861516,44.3012746850849,7.08
SYC,2016,100.0,205.819565217391,309.0124111484,20.1084849861516,44.3012746850849,7.31
SYC,2017,100.0,208.354347826087,301.254662883741,20.1084849861516,44.3012746850849,7.28
SYC,2018,100.0,210.352173913043,333.018707841214,20.1084849861516,44.3012746850849,7.37
SYC,2019,100.0,212.228260869565,339.573254449043,20.1084849861516,44.3012746850849,7.39
SYC,2020,100.0,214.047826086957,363.794413677591,20.1084849861516,44.3012746850849,6.15
SYC,2021,100.0,215.778260869565,364.244471957576,20.1084849861516,44.3012746850849,3.9
SYR,2000,93.4,90.5315485907063,91.9071110030875,26.094415683755,20.5082568378763,1.32
SYR,2001,93.1,92.7812493198389,87.7048757926205,26.3439953512367,20.2540865415392,1.23
SYR,2002,86.6,95.0502339754054,91.1419332851933,26.9635151690883,20.0101796459123,1.18
SYR,2003,92.6,97.4415599978212,93.7954825132626,25.6025787910985,19.7753878344602,1.05
SYR,2004,92.3,99.8903687966443,88.5060692263694,26.3391002117283,18.7593008064755,0.99
SYR,2005,92.0,102.490009260772,82.5942199658846,27.0310250266618,17.7624205046688,0.92
SYR,2006,99.5,106.937983989544,83.0060084564507,27.722307096523,16.7970430433179,0.84
SYR,2007,91.5,113.723181224134,83.4886680254117,29.0595874075818,16.0593739781448,0.75
SYR,2008,91.3,117.820540187323,80.169453834502,32.9616439072491,15.713396587874,0.72
SYR,2009,91.1,119.674194075365,89.6964490463054,33.5912450460754,15.3773580353365,0.69
SYR,2010,92.7,122.433267984534,85.5595309850134,33.650077859322,15.191318426322,0.69
SYR,2011,91.5,124.58801938681,90.0199846730541,31.4335813617283,17.198002980687,0.69
SYR,2012,90.7,123.943598540543,76.9405564472407,27.8469271007781,17.2306921848018,0.72
SYR,2013,90.4,117.99225072156,82.2766830823307,24.3498343947694,17.2992330933831,0.75
SYR,2014,90.2,110.404939280074,128.970961991621,22.6676048527856,17.0559481622563,0.74
SYR,2015,90.0,105.781288460491,148.841120541568,22.3507565262857,16.9942019914678,0.75
SYR,2016,89.8,104.524500353973,152.06753804746,21.596460761489,17.1370977573261,0.72
SYR,2017,89.6,104.692414093558,150.382269464816,21.4826380978898,17.3550883531895,0.73
SYR,2018,86.0,106.615721831945,151.059629004677,21.4651388093025,17.6377553876112,0.73
SYR,2019,89.2,110.839917224854,145.8183131998,21.2443803139669,17.971845893011,0.72
SYR,2020,89.0,114.629575777378,184.294680925795,21.71092211661,17.9517035025696,0.66
SYR,2021,88.8,117.784888090181,243.163425575214,21.8828977619253,17.915568855005,0.66
TCD,2000,3.1,6.75992137865311,25.9817238536095,3.00821181772408,44.6612376174362,10.97
TCD,2001,3.4,6.99183926302414,29.320321014876,3.23615117418671,44.4528854164029,11.07
TCD,2002,3.8,7.23966963151207,47.697561723552,3.4540204070174,44.2376899095627,11.17
TCD,2003,4.1,7.53481019695044,30.6282551182271,3.73756481284018,44.0088749262256,11.05
TCD,2004,3.5,7.87804637865311,42.5144641484048,4.10829572001853,43.7719404713683,11.16
TCD,2005,4.8,8.20210609911055,44.3679115579287,4.44918897761122,43.5469344656631,11.36
TCD,2006,5.1,8.50256035578145,50.5342281267573,4.662976991604,43.3331987123642,11.42
TCD,2007,5.5,8.80055590851334,47.4413191576436,4.91028556100125,43.1230889655996,11.45
TCD,2008,5.9,9.11395806861499,47.7628038170202,5.17314938978038,42.9041385965086,11.62
TCD,2009,6.3,9.44548443456163,50.3900641559351,5.45593061565715,42.6809251165291,11.79
TCD,2010,6.4,9.77809323379924,52.5342052224553,5.88035887253365,42.4598700850444,11.86
TCD,2011,9.0,10.1294448856417,45.1176131528328,6.1561407142826,42.2372073906178,11.75
TCD,2012,7.8,10.4915803684879,41.8517367713511,6.5635419162863,42.0144988003371,11.58
TCD,2013,8.1,10.8728391041931,39.402216513307,6.94922056665266,41.7924364665369,11.39
TCD,2014,8.4,11.2680098475222,41.9862076081152,7.3878185834731,41.5743467870654,11.19
TCD,2015,7.7,11.6324817344346,48.9204221237301,7.79781253963796,41.3634267936935,10.9
TCD,2016,9.2,12.0033791296061,45.9962014018798,8.08390966834337,41.1524090155762,10.77
TCD,2017,10.9,12.4068924714104,46.5343010494363,8.43191619625611,40.9408802370129,10.8
TCD,2018,10.1,12.830790184244,46.079573489506,8.92529873767925,40.7314028408989,10.96
TCD,2019,8.4,13.2506535895807,46.1217052496271,9.08982849446379,40.7585195682289,10.98
TCD,2020,10.9,13.6790652795426,65.6680788475862,9.36791412214798,40.7463601014116,11.22
TCD,2021,11.3,14.1584124841169,60.5966360324661,9.45768203280375,40.8449857755891,10.68
TGO,2000,17.0,94.5033462033462,41.0515925539472,7.46398955059587,47.6520029502658,14.95
TGO,2001,19.6,97.0285346571061,41.87337995069,7.69755392102773,47.7151793170354,15.16
TGO,2002,21.3,99.5270086412944,42.8029654564556,7.91843327737678,47.7563477578814,15.32
TGO,2003,23.0,102.08065820923,44.9434557936185,8.10858393578446,47.7937576988914,15.62
TGO,2004,24.8,104.734473248759,45.1940807089554,8.52732749746988,47.8392471938157,15.51
TGO,2005,26.5,107.457823129252,45.266620942858,8.96748782387543,47.8765627399164,15.72
TGO,2006,27.9,110.510535024821,47.0588195403378,9.05293306286371,47.9267503946046,15.78
TGO,2007,30.0,113.777238462953,37.6616371987335,11.2519062227418,47.9649841053026,15.71
TGO,2008,31.8,117.095274866703,39.0820339983216,13.2969936442944,47.9728350663516,16.21
TGO,2009,33.7,120.46083838941,41.6579097880438,16.662186280596,47.9558946205958,16.45
TGO,2010,30.8,123.783599926457,45.419627957395,17.9218266028715,47.9038708958696,16.51
TGO,2011,39.7,127.164441993013,48.3014368809695,18.6823551266871,47.8534500509675,16.5
TGO,2012,39.1,130.55223386652,49.1537466072788,18.7186641781321,47.8206631881271,16.44
TGO,2013,41.0,133.948189005332,51.5869444215662,18.7356815312735,47.8101836073094,16.41
TGO,2014,45.7,137.386468100754,56.2393312190317,18.7818630367866,47.8192974821947,16.38
TGO,2015,44.7,140.893454679169,83.4327409998946,18.8255338295532,47.842932226154,16.28
TGO,2016,46.8,144.480400808972,85.9837165469012,19.0216165840272,47.8770337314922,16.44
TGO,2017,48.0,148.136422136422,85.9533185130213,19.3320898440525,47.9221443258179,16.15
TGO,2018,50.0,151.843684500827,91.3382816581743,19.6782101465401,47.9804382686465,16.0
TGO,2019,52.5,155.599705828277,93.9199120232823,19.915966652964,48.0471962231427,15.86
TGO,2020,54.1,159.399154256297,90.7489993854119,20.090466893354,48.0237899826192,15.53
TGO,2021,55.7,163.235502849789,93.7871266651131,20.0984649082288,48.0790507038483,15.17
THA,2000,82.1,123.329513202451,101.268023134463,20.140519528935,45.6035221669388,11.02
THA,2001,90.4,124.58873925894,103.841284936454,19.4515580259119,45.3485978390585,10.99
THA,2002,91.0,125.793100275989,101.956333582114,19.8304157564669,45.4347728167866,11.23
THA,2003,91.6,126.970905674411,105.145496817322,19.7517904082324,45.5211623935726,10.89
THA,2004,92.2,128.1137759596,106.966881667167,20.0082213532031,45.3930380500467,10.27
THA,2005,92.8,129.220419268336,116.407100007459,20.234589094905,45.6708634468752,8.8
THA,2006,99.1,130.297494568302,94.6734757097356,20.4868391295951,45.3459503783911,8.75
THA,2007,94.1,131.344113214195,91.0751230242262,20.7486258994744,45.4699750290768,8.76
THA,2008,94.8,132.356926148486,102.212176523969,20.7271984062717,45.5107842159031,8.51
THA,2009,99.0,133.338057116013,116.048944844747,20.6007232703787,45.4015762426191,8.2
THA,2010,99.7,134.235250249564,114.397884483643,20.6443980692324,45.4705491707916,8.16
THA,2011,99.3,135.072536162383,110.361684210753,19.4406411028036,46.0053145562825,8.33
THA,2012,99.1,135.912031944254,121.758046841608,19.8224253691694,45.7716350108206,8.46
THA,2013,99.4,136.712626984282,123.211580781287,21.2596437361553,45.2610438548394,8.61
THA,2014,99.5,137.439305917125,133.295008086216,23.5536900975609,45.1633466406612,9.41
THA,2015,99.6,138.07433106931,168.437171313962,23.7199809001848,45.2597832615223,9.97
THA,2016,99.9,138.698821664155,175.341175846252,23.7258924783167,45.2534179250017,10.7
THA,2017,99.9,139.286709467791,181.995361110201,22.9001980712186,45.1985078677574,10.97
THA,2018,99.8,139.709289670966,202.226651274841,22.8486645321953,45.2244518811746,11.49
THA,2019,99.9,139.995441288731,200.136023608231,22.8893487918824,45.3368307376041,12.22
THA,2020,100.0,140.228785061364,228.841978310305,22.6027550040093,45.4897714485367,14.25
THA,2021,100.0,140.396821233534,287.008000885576,22.272544991857,45.6435884456132,15.38
TJK,2000,98.5,44.903793941126,35.3703047778735,15.2134777135259,36.7401723191225,5.06
TJK,2001,98.6,45.780058588168,39.0728536891693,15.9030237532812,36.7567715869496,4.71
TJK,2002,99.0,46.6681123178051,43.2646493231571,16.7229226168152,36.7710661703582,4.49
TJK,2003,100.0,47.5748428122321,48.6633631142248,17.5011150596143,36.7897210239837,4.23
TJK,2004,98.5,48.517769362675,54.039562724476,17.9894653161579,36.8739782508193,4.17
TJK,2005,99.3,49.4764218348099,58.9393429192528,17.3530086465019,36.7668164637485,4.17
TJK,2006,98.6,50.425593026579,63.6093907120126,16.8778513968822,36.6519490362572,4.09
TJK,2007,98.6,51.4038082309231,77.0803690793877,16.4733738710912,36.5244206845103,4.06
TJK,2008,98.6,52.4321448985424,85.7095862935649,16.0785026807089,36.4077479785991,3.97
TJK,2009,99.0,53.5169334095456,88.6300787887392,15.6898484908244,36.3836773567829,3.91
