iso3,Year,SL.TLF.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,EN.POP.DNST,SE.COM.DURS,SL.IND.EMPL.ZS,SH.XPD.OOPC.CH.ZS,NY.GDP.MKTP.CD,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.IN,SH.XPD.EHEX.PP.CD,GC.XPN.COMP.ZS,NV.IND.MANF.ZS,EG.ELC.ACCS.ZS,SL.AGR.EMPL.ZS,MS.MIL.TOTL.P1,SP.POP.1564.TO.ZS,MS.MIL.TOTL.TF.ZS,SE.XPD.TOTL.GD.ZS,IT.MLT.MAIN.P2,DT.TDS.DPPG.GN.ZS,SuicideRatesPer100k
CZE,2018,44.4992053815741,50.7407523620626,137.675534257221,10.0,37.4975564607749,14.15549374,251992360762.236,73.792,5405110.0,0.0,13.7139821063098,22.3060378872535,100.0,2.80217926509402,22245.0,64.6915656051411,0.411554991480284,4.26605987548828,14.3,1.50003420459832,10.92
CZE,2019,44.4471218766955,50.7198806238823,138.226810266108,10.0,37.2499401801653,14.309021,256794209028.77,73.921,5394887.0,0.0,13.7271383960466,22.1266766165116,100.0,2.66376624149157,25000.0,64.1400490294769,0.463401735754614,4.54246997833252,14.2,1.50003420459832,9.57
CZE,2020,44.2046027936282,50.7054842646948,138.575928842168,10.0,37.2455185678113,11.0761776,251109660602.536,74.061,5343016.0,0.0,12.6721460471247,20.7968233716829,100.0,2.61002552360788,27000.0,63.7032085719896,0.505332568721486,4.72159004211426,12.7,1.50003420459832,9.91
CZE,2021,44.2875704230524,50.7042895508297,136.108349053848,10.0,36.8203064362899,12.48179531,290972714482.313,74.214,5242069.0,6.946052627743034,12.4791105527206,19.640981617073,100.0,2.54754634020647,34600.0,63.3939300705344,0.928209783292858,4.80319976806641,12.4,1.50003420459832,10.32
DEU,2000,43.781639513354,51.3295928412467,235.596813297034,13.0,33.5310743242849,12.16411877,1966980701145.1,74.965,40210993.0,6.946052627743034,5.67619171679753,20.2840359494004,100.0,2.63752523188634,221100.0,67.885670642617,0.549849639375979,4.06815242767334,61.4,1.50003420459832,11.11
DEU,2001,44.1542747472394,51.3294255646419,236.027300085985,13.0,32.7815565372497,12.16159153,1966381496641.73,75.17,40298909.0,6.946052627743034,5.66144661569589,20.0863572804744,100.0,2.61599185839958,308400.0,67.664203690965,0.765281263569691,4.14708137512207,63.9,1.50003420459832,11.1
DEU,2002,44.4313931371859,51.3203175203023,236.451570830706,13.0,32.3668178966069,12.44857025,2102350798305.89,75.374,40394421.0,6.946052627743034,5.64762124053913,19.4763331174439,100.0,2.48709656948766,296000.0,67.4723981364479,0.732774459126422,4.16305732727051,65.4,1.50003420459832,11.05
DEU,2003,44.7539332906337,51.3341480374001,236.616427281328,13.0,31.37774488982,12.7086525,2534715518349.01,75.577,40574932.0,6.946052627743034,5.59857129916296,19.5529741477412,100.0,2.42462716176162,284500.0,67.268380561822,0.701171846695886,4.17101860046387,66.0,1.50003420459832,10.82
DEU,2004,44.8366592941899,51.3442832054671,236.592195429653,13.0,31.2532097841813,13.88550091,2852317768061.78,75.779,40416992.0,6.946052627743034,5.63449281130453,19.7896242542651,100.0,2.35515524595217,284000.0,66.9801813153722,0.70267475620155,4.10064888000488,66.4,1.50003420459832,10.43
DEU,2005,45.037718467285,51.3788800601803,236.464680582636,13.0,29.8404864503707,13.97864056,2893393187361.87,75.98,41133962.0,6.946052627743034,5.5882598133712,19.7693607543503,100.0,2.37341459550327,285000.0,66.6481280445416,0.692858130223391,4.10731077194214,66.8,1.50003420459832,9.84
DEU,2006,45.4014484954067,51.3231945001278,236.225197866483,13.0,29.6524872786833,14.36449718,3046308753670.58,76.179,41693194.0,6.946052627743034,5.63975538126899,20.3388454277918,100.0,2.26795818403246,246000.0,66.2934869710793,0.590024357452682,4.02527379989624,66.6,1.50003420459832,9.3
DEU,2007,45.6390989388751,51.2230047126798,235.943361918146,13.0,29.8965119027746,14.26814461,3484056680854.91,76.378,41795078.0,6.946052627743034,5.64432138385228,20.5298911974573,100.0,2.2585286352828,244000.0,66.0234880594569,0.583800800658872,3.92246603965759,65.3,1.50003420459832,8.96
DEU,2008,45.4223035848423,51.2119616361214,235.522178240542,13.0,29.3432225108137,13.97137737,3808786022312.5,76.575,41800249.0,6.946052627743034,5.70970861398068,19.7536375150598,100.0,1.78449275481855,244000.0,65.8696443375807,0.583728580181424,4.54924011230469,62.0,1.50003420459832,9.06
DEU,2009,45.9094330060469,51.2484814719,234.939637417171,13.0,28.7963879553932,13.7453661,3479800820863.28,76.771,41823603.0,6.946052627743034,5.67511151956297,17.3528480441867,100.0,1.68238036137098,251465.0,65.7212170370739,0.601251403424043,4.34005403518677,66.3,1.50003420459832,9.13
DEU,2010,45.7755529719498,51.2763066858384,234.606908225034,13.0,28.3099934600273,13.80700302,3468154343000.01,76.966,41860532.0,6.946052627743034,5.51860088647486,19.4327729486327,100.0,1.64715846062239,251465.0,65.7386429233445,0.600720984625805,5.09588003158569,65.4,1.50003420459832,9.55
DEU,2011,46.3331907686789,51.2326158859928,230.304633348634,13.0,28.2359740576418,13.84797668,3824828563521.41,77.16,41522681.0,6.946052627743034,5.75985598201823,20.1342159756315,100.0,1.64438058386325,196000.0,65.8994933869984,0.472031177370267,4.98425006866455,63.6,1.50003420459832,9.32
DEU,2012,46.1102625156838,51.1263527698159,230.750625466231,13.0,28.1932371518742,14.02465439,3597896500945.31,77.17,41764438.0,6.946052627743034,5.82664787449261,20.0571351030932,100.0,1.56060560638904,186450.0,65.9715437998931,0.446432440920192,4.92844009399414,61.9,1.50003420459832,9.06
DEU,2013,46.1824165824575,51.013962819901,231.155712565925,13.0,27.778443199266,13.18955326,3808086291482.36,77.18,42179707.0,6.946052627743034,5.8166117746092,19.7677938673586,100.0,1.44623816440879,181550.0,65.9544693115349,0.4304202492445,4.93538999557495,60.1,1.50003420459832,9.29
DEU,2014,46.2597352645934,50.93788616999,232.108053883634,13.0,28.0524458193656,12.87336349,3965800686309.79,77.19,42451594.0,6.946052627743034,5.8133839681164,20.1171122582633,100.0,1.428272664952,178600.0,65.8621937797938,0.420714473053709,4.92102003097534,57.8,1.50003420459832,9.27
DEU,2015,46.1974522433232,50.7760081681774,234.152986871524,13.0,27.6900899187125,12.95336056,3423568450957.03,77.2,42693402.0,6.946052627743034,5.79558838903013,20.1508920324729,100.0,1.39399310380204,177300.0,65.7365353514053,0.415286652490237,4.85515022277832,55.3,1.50003420459832,9.08
DEU,2016,46.2396838705807,50.650387663244,235.712929356538,13.0,27.3817201800184,12.82559204,3537784107980.55,77.224,43118037.0,6.946052627743034,5.78103150954513,20.4345907994406,100.0,1.30827804185967,179100.0,65.5385099359924,0.415371414055793,4.83923006057739,54.7,1.50003420459832,8.87
